Title,Weight,Vendor,Price,Flavour Notes,Region,Country,Variety,Process,Image URL,Elevation,Roast profile,Acidity
Belgian Mocha,1000,Cowpresso Coffee Roasters,56,,,Unknown,"Bourbon, Catimor","Fully washed, Natural and infused with Dark Belgian Bittersweet Cacoa essential oils and Cocoa butter.",https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Belgian-web.jpg?v=1587613987,"400 - 1,700",Medium Dark Roast,Low
Single Estate Myanmar Kayah,250,Cowpresso Coffee Roasters Singapore,24,,"Kayah, Myanmar & Village",Myanmar,"C. Arabica, Catimor",Fully washed. Sun dried fermentation on African raised bed with bags in 18 hours and washed. 75,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Myanmar-kayah.jpg?v=1593178856,"1,100",Medium Roast,Mild
Single Estate Myanmar Kayah,500,Cowpresso Coffee Roasters Singapore,48,,"Kayah, Myanmar & Village",Myanmar,"C. Arabica, Catimor",Fully washed. Sun dried fermentation on African raised bed with bags in 18 hours and washed. 75,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Myanmar-kayah.jpg?v=1593178856,"1,100",Medium Roast,Mild
Single Estate Myanmar Kayah,1000,Cowpresso Coffee Roasters Singapore,96,,"Kayah, Myanmar & Village",Myanmar,"C. Arabica, Catimor",Fully washed. Sun dried fermentation on African raised bed with bags in 18 hours and washed. 75,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Myanmar-kayah.jpg?v=1593178856,"1,100",Medium Roast,Mild
Colombia Agua Linda (Roaster's Special),1000,Cowpresso Coffee Roasters Singapore,66,,Santa Barbara,Unknown,Colombia & Castillo,Fully washed. Wet Mill,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/ColombiaAguaLindaCoffeeBaglistingsCowpressoSingapore.png?v=1638270548,"1,850",Medium Roast,Crisp
Colombia Agua Linda (Roaster's Special),500,Cowpresso Coffee Roasters Singapore,36,,Santa Barbara,Unknown,Colombia & Castillo,Fully washed. Wet Mill,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/ColombiaAguaLindaCoffeeBaglistingsCowpressoSingapore.png?v=1638270548,"1,850",Medium Roast,Crisp
Colombia Agua Linda (Roaster's Special),250,Cowpresso Coffee Roasters Singapore,19,,Santa Barbara,Unknown,Colombia & Castillo,Fully washed. Wet Mill,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/ColombiaAguaLindaCoffeeBaglistingsCowpressoSingapore.png?v=1638270548,"1,850",Medium Roast,Crisp
Guatemala San Vicente Pacaya,250,Cowpresso Coffee Roasters Singapore,19,,"Finca Pacaya, Guatemala",Guatemala,"Bourbon, Typica, Caturra",Fully washed. Wet Mill,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Guatemala.jpg?v=1588508065,"1,800",Medium Roast,Medium
Guatemala San Vicente Pacaya,1000,Cowpresso Coffee Roasters Singapore,66,,"Finca Pacaya, Guatemala",Guatemala,"Bourbon, Typica, Caturra",Fully washed. Wet Mill,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Guatemala.jpg?v=1588508065,"1,800",Medium Roast,Medium
Guatemala San Vicente Pacaya,500,Cowpresso Coffee Roasters Singapore,36,,"Finca Pacaya, Guatemala",Guatemala,"Bourbon, Typica, Caturra",Fully washed. Wet Mill,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Guatemala.jpg?v=1588508065,"1,800",Medium Roast,Medium
Sumatra Lintong (Roaster's Special),1000,Cowpresso Coffee Roasters Singapore,57,,"Lintong, Aceh Tenggah, Sumatra Utara",Indonesia,Ateng,Giling Basah,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/sumatralintong.png?v=1675313120,1300,Medium Dark Roast,Medium acidity
Sumatra Lintong (Roaster's Special),500,Cowpresso Coffee Roasters Singapore,35,,"Lintong, Aceh Tenggah, Sumatra Utara",Indonesia,Ateng,Giling Basah,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/sumatralintong.png?v=1675313120,1300,Medium Dark Roast,Medium acidity
Sumatra Lintong (Roaster's Special),250,Cowpresso Coffee Roasters Singapore,19,,"Lintong, Aceh Tenggah, Sumatra Utara",Indonesia,Ateng,Giling Basah,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/sumatralintong.png?v=1675313120,1300,Medium Dark Roast,Medium acidity
Panama Teresa,250,Cowpresso Coffee Roasters Singapore,25,,"Boquete, Chiriqui Province",Panama,Caturra,Honey Moisture,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Panama_Teresa_Cowpresso_Coffee_Singapore_Web.jpg?v=1616545286,1400-1800,Medium Roast,Medium acidity
Panama Teresa,500,Cowpresso Coffee Roasters Singapore,45,,"Boquete, Chiriqui Province",Panama,Caturra,Honey Moisture,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Panama_Teresa_Cowpresso_Coffee_Singapore_Web.jpg?v=1616545286,1400-1800,Medium Roast,Medium acidity
Panama Teresa,1000,Cowpresso Coffee Roasters Singapore,73,,"Boquete, Chiriqui Province",Panama,Caturra,Honey Moisture,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Panama_Teresa_Cowpresso_Coffee_Singapore_Web.jpg?v=1616545286,1400-1800,Medium Roast,Medium acidity
Fruitcake Blend (Seasonal),1000,Cowpresso Special,62,"Forest-Berries, Milk Chocolate, Orange Peel",Mixed Blend,Unknown,"Bourbon, Typica, Caturra",Mixed,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Fruitcake_blend_2.jpg?v=1587614026,"800 - 2,200",Medium Roast,Sweet black-forest
Fruitcake Blend (Seasonal),500,Cowpresso Special,42,"Forest-Berries, Milk Chocolate, Orange Peel",Mixed Blend,Unknown,"Bourbon, Typica, Caturra",Mixed,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Fruitcake_blend_2.jpg?v=1587614026,"800 - 2,200",Medium Roast,Sweet black-forest
Fruitcake Blend (Seasonal),250,Cowpresso Special,22,"Forest-Berries, Milk Chocolate, Orange Peel",Mixed Blend,Unknown,"Bourbon, Typica, Caturra",Mixed,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Fruitcake_blend_2.jpg?v=1587614026,"800 - 2,200",Medium Roast,Sweet black-forest
Brazil Santos,1000,Chocolate & Hazelnuts,45,"Chocolatey, Buttery, Dark cocoa, Hazelnuts & Lindt chocolate","Santos, Sao PauloProducer",Brazil,"Mundo Novo, Catuai, Tupi, Bourbon",Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/BRAZIL.png?v=1686215111,"800 - 1,200",Medium to Med. Dark Roast,Mild
Brazil Santos,250,Chocolate & Hazelnuts,15,"Chocolatey, Buttery, Dark cocoa, Hazelnuts & Lindt chocolate","Santos, Sao PauloProducer",Brazil,"Mundo Novo, Catuai, Tupi, Bourbon",Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/BRAZIL.png?v=1686215111,"800 - 1,200",Medium to Med. Dark Roast,Mild
Brazil Santos,500,Chocolate & Hazelnuts,28,"Chocolatey, Buttery, Dark cocoa, Hazelnuts & Lindt chocolate","Santos, Sao PauloProducer",Brazil,"Mundo Novo, Catuai, Tupi, Bourbon",Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/BRAZIL.png?v=1686215111,"800 - 1,200",Medium to Med. Dark Roast,Mild
Congo Kivu,500,Single Origin African,28,"BlackForest Cake, Berries, Raisins, Chocolate, Citrusy, Plums","Congo, North Kivu, South Kivu ,Ituri",Congo,"Bourbon, Jackson Bourbon",Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Congo-web.jpg?v=1587614002,"1,500 - 2,000",Medium Dark Roast now,Sweet
Congo Kivu,250,Single Origin African,15,"BlackForest Cake, Berries, Raisins, Chocolate, Citrusy, Plums","Congo, North Kivu, South Kivu ,Ituri",Congo,"Bourbon, Jackson Bourbon",Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Congo-web.jpg?v=1587614002,"1,500 - 2,000",Medium Dark Roast now,Sweet
Congo Kivu,1000,Single Origin African,43,"BlackForest Cake, Berries, Raisins, Chocolate, Citrusy, Plums","Congo, North Kivu, South Kivu ,Ituri",Congo,"Bourbon, Jackson Bourbon",Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Congo-web.jpg?v=1587614002,"1,500 - 2,000",Medium Dark Roast now,Sweet
Indonesian Muhlisin (Roaster's Special),1000,Cowpresso Special,73,,East Java Province,Indonesia,"Arabica Lini S795, Kartika",Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/indonesiamuhlisin-7302514-2.png?v=1651946777,1200-1400,Medium Roast,Winey
Indonesian Muhlisin (Roaster's Special),500,Cowpresso Special,47,,East Java Province,Indonesia,"Arabica Lini S795, Kartika",Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/indonesiamuhlisin-7302514-2.png?v=1651946777,1200-1400,Medium Roast,Winey
Indonesian Muhlisin (Roaster's Special),250,Cowpresso Special,25,,East Java Province,Indonesia,"Arabica Lini S795, Kartika",Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/indonesiamuhlisin-7302514-2.png?v=1651946777,1200-1400,Medium Roast,Winey
Golden Cup Blend,1000,Chocolate Houseblend Cowpresso Signature,56,,,Unknown,,Natural & Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/GC.png?v=1686214924,,Medium Dark Roast,Balanced
Golden Cup Blend,250,Chocolate Houseblend Cowpresso Signature,19,,,Unknown,,Natural & Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/GC.png?v=1686214924,,Medium Dark Roast,Balanced
Golden Cup Blend,500,Chocolate Houseblend Cowpresso Signature,36,,,Unknown,,Natural & Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/GC.png?v=1686214924,,Medium Dark Roast,Balanced
🎄Holiday Blend🎄,250,Cowpresso Coffee Roasters Singapore,25,,,Unknown,,Natural & Washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/holidayblend.png?v=1734496375,"1,200 - 2,200",Medium-Dark Roast,Low-medium
🎄Holiday Blend🎄,1000,Cowpresso Coffee Roasters Singapore,79,,,Unknown,,Natural & Washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/holidayblend.png?v=1734496375,"1,200 - 2,200",Medium-Dark Roast,Low-medium
🎄Holiday Blend🎄,500,Cowpresso Coffee Roasters Singapore,45,,,Unknown,,Natural & Washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/holidayblend.png?v=1734496375,"1,200 - 2,200",Medium-Dark Roast,Low-medium
🧧🍊🐉 Lunar New Year Blend🐉🍊🧧 (CNY Special!),250,Cowpresso Coffee Roasters Singapore,25,,,Unknown,"Old Trees Typica, SL 14 , SL 28",Natural & Washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/lunar_new_year.png?v=1734496607,"1,200 - 2,200",Medium Roast,Winey & Citric
🧧🍊🐉 Lunar New Year Blend🐉🍊🧧 (CNY Special!),,Cowpresso Coffee Roasters Singapore,47,,,Unknown,"Old Trees Typica, SL 14 , SL 28",Natural & Washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/lunar_new_year.png?v=1734496607,"1,200 - 2,200",Medium Roast,Winey & Citric
🧧🍊🐉 Lunar New Year Blend🐉🍊🧧 (CNY Special!),1000,Cowpresso Coffee Roasters Singapore,69,,,Unknown,"Old Trees Typica, SL 14 , SL 28",Natural & Washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/lunar_new_year.png?v=1734496607,"1,200 - 2,200",Medium Roast,Winey & Citric
Half Caffeinated Blend,500,Cowpresso Coffee Roasters Singapore,34,,,Unknown,,Natural and S.water.,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Half-caff.jpg?v=1588509679,"800 - 2,000",Medium Dark Roast,Low
Half Caffeinated Blend,250,Cowpresso Coffee Roasters Singapore,18,,,Unknown,,Natural and S.water.,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Half-caff.jpg?v=1588509679,"800 - 2,000",Medium Dark Roast,Low
Half Caffeinated Blend,1000,Cowpresso Coffee Roasters Singapore,52,,,Unknown,,Natural and S.water.,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Half-caff.jpg?v=1588509679,"800 - 2,000",Medium Dark Roast,Low
Mexico Chanjul (Roaster's Special),1000,Cowpresso Coffee Roasters Singapore,73,,Soconusco,Mexico,"Marsellesa, Hybrids, Starmaya",Natural on raised beds Moisture,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/MexicoChanjulCoffeeBagS.png?v=1638176863,1200-1700,Medium Roast,Apple Acidity
Mexico Chanjul (Roaster's Special),250,Cowpresso Coffee Roasters Singapore,25,,Soconusco,Mexico,"Marsellesa, Hybrids, Starmaya",Natural on raised beds Moisture,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/MexicoChanjulCoffeeBagS.png?v=1638176863,1200-1700,Medium Roast,Apple Acidity
Mexico Chanjul (Roaster's Special),500,Cowpresso Coffee Roasters Singapore,45,,Soconusco,Mexico,"Marsellesa, Hybrids, Starmaya",Natural on raised beds Moisture,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/MexicoChanjulCoffeeBagS.png?v=1638176863,1200-1700,Medium Roast,Apple Acidity
West Java,500,Cowpresso Special,47,,"West Java, Garut, Papandayan",Indonesia,"Old Trees Typica, Linie-S 795",Natural processed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/JAVA.png?v=1686215076,"1,200 - 1,700",Medium Roast,Sweet and clear
West Java,1000,Cowpresso Special,73,,"West Java, Garut, Papandayan",Indonesia,"Old Trees Typica, Linie-S 795",Natural processed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/JAVA.png?v=1686215076,"1,200 - 1,700",Medium Roast,Sweet and clear
West Java,250,Cowpresso Special,25,,"West Java, Garut, Papandayan",Indonesia,"Old Trees Typica, Linie-S 795",Natural processed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/JAVA.png?v=1686215076,"1,200 - 1,700",Medium Roast,Sweet and clear
